"id","type","original","author","title","file","downloads","votes","rating","halosafe","score","score_norating","lastmodified","md5","featured","tags","fulltags","author_blurb"
"1","Official Remix","Only","Michael Bennett","Dramatic Re-Birth","Nine Inch Nails - NINRemixes.com Official - 1 - Only, Dramatic Re-Birth, by Michael Bennett.mp3","519","43","3.9","Y","0.323745","0.0830116","1225769679","575df7b6d39c006b9032b4df19a09137","0",NULL,NULL,
"2","Official Remix","Only","Manik Instandin","Versioned","Nine Inch Nails - NINRemixes.com Official - 2 - Only, Versioned, by Manik Instandin.mp3","493","37","5","S","0.376782","0.0753564","0","6b61785f00d955c43b208a0127d30d25","0",NULL,NULL,
"3","Official Remix","Only","SpookShow","Spookymix Rough","Nine Inch Nails - NINRemixes.com Official - 3 - Only, Spookymix Rough, by SpookShow.mp3","471","16","5.7","?","0.194043","0.0340426","0","0e329ae82a6b54364175f66600da252a","0",NULL,NULL,
"4","Official Remix","Only","Hench",,"Nine Inch Nails - NINRemixes.com Official - 4 - Only remixed by Hench.mp3","320","15","5.5","N","0.258621","0.0470219","1178976154","23424c584926ade34e8fc1462bc974f7","0",NULL,NULL,
"5","Official Remix","Only","Rude Boy",,"Nine Inch Nails - NINRemixes.com Official - 5 - Only remixed by Rude Boy.mp3","263","10","5.3","?","0.201521","0.0380228","1178976564","7c41a95abcf6a7786412fd024c40bb83","0",NULL,NULL,
"6","Official Remix","Only","CRK aka DJBSofD","Dualistic Dymentia","Nine Inch Nails - NINRemixes.com Official - 6 - Only, Dualistic Dymentia, by CRK aka DJBSofD.mp3","1673","166","4.2","Y","0.408087","0.0971636","1274909391","583922f85ada6060b86fcd778de8675e","0",NULL,NULL,
"7","Official Remix","Only","Royal72","Royal","Nine Inch Nails - NINRemixes.com Official - 7 - Only, Royal, by Royal72.mp3","205","11","5.5","Y","0.295122","0.0536585","0","a912027aeeaeadc2b1f5187d8bc9172e","0",NULL,NULL,
"8","Official Remix","Only","The Nation","Drifting Into The Abstract","Nine Inch Nails - NINRemixes.com Official - 8 - Only, Drifting Into The Abstract, by The Nation.mp3","233","6","5.5","N","0.142857","0.025974","0","ff91d5c9b779fa4370ebdba541b8b8c0","0",NULL,NULL,
"9","Official Remix","Only","Digi Sagala","No Fucking You","Nine Inch Nails - NINRemixes.com Official - 9 - Only, No Fucking You, by Digi Sagala.mp3","414","17","5","Y","0.206813","0.0413625","0","31278db2212f075739da2ef61831af18","0",NULL,NULL,
"10","Official Remix","Only","Sebgob",,"Nine Inch Nails - NINRemixes.com Official - 10 - Only remixed by Sebgob.mp3","267","21","3.9","N","0.309057","0.0792453","1178976568","0e27e3be6498c8db15d395494943aa4f","0",NULL,NULL,
"11","Official Remix","Only","Andrew Elliot","Crunch","Nine Inch Nails - NINRemixes.com Official - 11 - Only, Crunch, by Andrew Elliot.mp3","192","7","5.5","N","0.201571","0.0366492","0","12b5c157ef5dc3a1427eedaa25ed4203","0",NULL,NULL,
"18","Official Remix","Only","Sagamore 2020","Additional","Nine Inch Nails - NINRemixes.com Official - 18 - Only, Additional, by Sagamore 2020.mp3","197","6","5.5","?","0.167513","0.0304569","1184474427","1f6c8509bb8f0a40bfb8df3ff5b37cff","0",NULL,NULL,
"14","Official Remix","Only","Luis Hamill","Final","Nine Inch Nails - NINRemixes.com Official - 14 - Only, Final, by Luis Hamill.mp3","203","9","5.3","?","0.234975","0.044335","0","ade6cae213557586d3b91f87e959ce22","0",NULL,NULL,
"15","Official Remix","Only","MF Nine","Bootstrap Remix","Nine Inch Nails - NINRemixes.com Official - 15 - Only, Bootstrap Remix, by MF Nine.mp3","259","15","5.9","Y","0.341699","0.0579151","1190152689","979daa6669680e426fa2439ae7a219f6","0",NULL,NULL,
"16","Official Remix","Only","Jennifer Mitchell","JenNIN Remix","Nine Inch Nails - NINRemixes.com Official - 16 - Only, JenNIN Remix, by Jennifer Mitchell.mp3","230","8","5.5","S","0.19214","0.0349345","0","9c91d37c678157267d222981e0b0c7b1","0",NULL,NULL,
"17","Official Remix","Only","The Reverend Fred Nelson","Enlightened","Nine Inch Nails - NINRemixes.com Official - 17 - Only, Enlightened, by The Reverend Fred Nelson.mp3","210","6","4.7","?","0.134286","0.0285714","1190344520","46b7ba2113ca7f9a3b527fb6713e4b02","0",NULL,NULL,
"12","Official Remix","Only","Sick Messiah and Dan Lash","Simply Complicated","Nine Inch Nails - NINRemixes.com Official - 12 - Only, Simply Complicated, by Sick Messiah and Dan Lash.mp3","171","8","5.2","?","0.243275","0.0467836","1152945209","ebea2d1bd0894287b6c89cf9d26c0014","0",NULL,NULL,
"19","Official Remix","Only","Kesman Musing","Musing","Nine Inch Nails - NINRemixes.com Official - 19 - Only, Musing, by Kesman Musing.mp3","227","9","5.5","?","0.22","0.04","0","f5f5dd2703b259ff3adc5b4ab191605d","0",NULL,NULL,
"20","Official Remix","Only","Daniel Munoz","The Art Of Self Destruction","Nine Inch Nails - NINRemixes.com Official - 20 - Only, The Art Of Self Destruction, by Daniel Munoz.mp3","287","12","6.4","?","0.267596","0.0418118","0","2169734adac0dd8e6cafc86b4606c4d0","0",NULL,NULL,
"21","Official Remix","Only","Alex R","Clonefeed Remix","Nine Inch Nails - NINRemixes.com Official - 21 - Only, Clonefeed Remix, by Alex R.mp3","186","8","5.5","?","0.210383","0.0382514","0","bd6a4b24bc50e9a09c1a82553636c5ce","0",NULL,NULL,
"22","Official Remix","Only","Pmman","Made Up","Nine Inch Nails - NINRemixes.com Official - 22 - Only, Made Up, by Pmman.mp3","201","7","5.3","S","0.186432","0.0351759","0","d124e4ae3e4bf05c9c0b4aabd25772a9","0",NULL,NULL,
"23","Official Remix","Only","Ro The U","RTU Remix","Nine Inch Nails - NINRemixes.com Official - 23 - Only, RTU Remix, by Ro The U.mp3","1566","86","8.8","?","0.484197","0.0550224","0","f97492b803faf680ea2d02ceced8f224","0",NULL,NULL,
"24","Official Remix","Only","Axel","Into The Abstract","Nine Inch Nails - NINRemixes.com Official - 24 - Only, Into The Abstract, by Axel.mp3","194","6","5.5","N","0.170103","0.0309278","0","271ef2bd3429deaf53f7c443ac8ed6af","0",NULL,NULL,
"25","Official Remix","Only","Doc Mosez","Halfway To Egypt","Nine Inch Nails - NINRemixes.com Official - 25 - Only, Halfway To Egypt, by Doc Mosez.mp3","236","8","5.5","?","0.186441","0.0338983","0","4c61fc48c15459736facb95d469f52db","0",NULL,NULL,
"26","Official Remix","Only","Colorblind","Summer Remix","Nine Inch Nails - NINRemixes.com Official - 26 - Only, Summer Remix, by Colorblind.mp3","255","14","4.7","S","0.243426","0.0517928","1178554620","e21db321eaadddc87b2a984eed58b63b","0",NULL,NULL,
"27","Official Remix","Only","F3EN",,"Nine Inch Nails - NINRemixes.com Official - 27 - Only remixed by F3EN.mp3","187","9","5","Y","0.240642","0.0481283","1178976572","1775d7febbea3ac65b53c992b6f07e4a","0",NULL,NULL,
"28","Official Remix","Only","Raymond Thimmes","Deepnit","Nine Inch Nails - NINRemixes.com Official - 28 - Only, Deepnit, by Raymond Thimmes.mp3","195","6","5.5","N","0.169231","0.0307692","0","aeef2a7506f5db7d23d6bda3dca5cc1b","0",NULL,NULL,
"29","Official Remix","Only","Meenduk","Disassociation Remix","Nine Inch Nails - NINRemixes.com Official - 29 - Only, Disassociation Remix, by Meenduk.mp3","220","7","5.3","S","0.169406","0.0319635","1225768125","a83f7a9e3ec3f6eb6a527176a2bb882e","0",NULL,NULL,
"30","Official Remix","Only","Dysangel","Bombs Into You","Nine Inch Nails - NINRemixes.com Official - 30 - Only, Bombs Into You, by Dysangel.mp3","267","10","5.2","Y","0.197719","0.0380228","0","07b62a8c657201ef3bc449a575cae3ed","0",NULL,NULL,
"31","Official Remix","Only","Harold Rooster","Fuck That Shit","Nine Inch Nails - NINRemixes.com Official - 31 - Only, Fuck That Shit, by Harold Rooster.mp3","278","14","5.3","N","0.249638","0.0471014","0","b7145280dfb76a725bd8cbd61236a08f","0",NULL,NULL,
"32","Official Remix","Only","Danny","Over The Edge","Nine Inch Nails - NINRemixes.com Official - 32 - Only, Over The Edge, by Danny.mp3","212","6","5.5","?","0.157143","0.0285714","0","091fc5912820ab09057549be7187b365","0",NULL,NULL,
"33","Official Remix","Only","Project 01A",,"Nine Inch Nails - NINRemixes.com Official - 33 - Only remixed by Project 01A.mp3","249","12","5.2","Y","0.251613","0.0483871","1177094367","461175409b1f13081c70b234f84cb05d","0",NULL,NULL,
"34","Official Remix","Only","Barry McDermott",,"Nine Inch Nails - NINRemixes.com Official - 34 - Only remixed by Barry McDermott.mp3","192","10","5.3","?","0.276042","0.0520833","1178545111","c2955c666c7aba520b6cfd1d59bff466","0",NULL,NULL,
"35","Official Remix","Only","De Profundis",,"Nine Inch Nails - NINRemixes.com Official - 35 - Only remixed by De Profundis.mp3","224","10","5.2","Y","0.232143","0.0446429","1178555430","1889389b33728e9d1360f6b966ede2e6","0",NULL,NULL,
"36","Official Remix","Only","Steve Youngblood",,"Nine Inch Nails - NINRemixes.com Official - 36 - Only remixed by Steve Youngblood.mp3","233","4","6","?","0.103448","0.0172414","1178976576","c82bf80fc82743013420f1b0dca2af4a","0",NULL,NULL,
"37","Official Remix","Only","Drexial","Only Pretty Inside","Nine Inch Nails - NINRemixes.com Official - 37 - Only, Only Pretty Inside, by Drexial.mp3","214","8","5.5","S","0.179907","0.0327103","0","176c86fd1e9c163c8164fc5b4c0137b6","0",NULL,NULL,
"38","Official Remix","Only","Joel Rey","Kugelsack","Nine Inch Nails - NINRemixes.com Official - 38 - Only, Kugelsack, by Joel Rey.mp3","195","8","5.5","?","0.226804","0.0412371","0","c009610dc4fd51050c3d1e78088b5ab8","0",NULL,NULL,
"39","Official Remix","Only","GTB","Butchered Goth Remix","Nine Inch Nails - NINRemixes.com Official - 39 - Only, Butchered Goth Remix, by GTB.mp3","1568","181","3.4","Y","0.38701","0.113826","0","a06dee39348b900d26b1b6a9184da770","0",NULL,NULL,
"40","Official Remix","Only","SeaMySide","Alter From Below","Nine Inch Nails - NINRemixes.com Official - 40 - Only, Alter From Below, by SeaMySide.mp3","223","13","5.3","Y","0.308969","0.058296","0","0d6f8019330bd5f9078a6461bf675c45","0",NULL,NULL,
"41","Official Remix","Only","Zanda","Jaded","Nine Inch Nails - NINRemixes.com Official - 41 - Only, Jaded, by Zanda.mp3","424","27","5.8","N","0.371971","0.064133","1225774003","7068927880da4777967157a62b56f91f","0",NULL,NULL,
"42","Official Remix","Only","John Suttie","174 Bpm Remix","Nine Inch Nails - NINRemixes.com Official - 42 - Only, 174 Bpm Remix, by John Suttie.mp3","289","16","5.7","Y","0.31777","0.0557491","0","d670f4ef90799be5245d5f77f7e7cc84","0","dnb, fast, heavy","heavy, fast, dnb",
"43","Official Remix","Only","DJ G-5",,"Nine Inch Nails - NINRemixes.com Official - 43 - Only remixed by DJ G-5.mp3","232","8","5.5","?","0.190476","0.034632","1178555119","e28d4af8402210eaa3def50dfac3f00e","0",NULL,NULL,
"44","Official Remix","Only","Depredator",,"Nine Inch Nails - NINRemixes.com Official - 44 - Only remixed by Depredator.mp3","223","9","5.8","?","0.235135","0.0405405","1178958180","07f35b3a49a6aa5c3600dda2cab255dc","0",NULL,NULL,
"45","Official Remix","Only","The Kick","Kick Mix","Nine Inch Nails - NINRemixes.com Official - 45 - Only, Kick Mix, by The Kick.mp3","266","17","4.8","?","0.307925","0.0641509","0","1b3d95a3544a00ae5c9149953cebfb54","0",NULL,NULL,
"46","Official Remix","Only","Obsolete Systems","Obsolete","Nine Inch Nails - NINRemixes.com Official - 46 - Only, Obsolete, by Obsolete Systems.mp3","208","10","5.1","?","0.245192","0.0480769","0","78c9ad29bce32e9efea9980b0c16e148","0",NULL,NULL,
"47","Official Remix","Only","Adam Burkowski","Hurt Myself","Nine Inch Nails - NINRemixes.com Official - 47 - Only, Hurt Myself, by Adam Burkowski.mp3","472","27","5.3","Y","0.304468","0.0574468","0","9483f0df39d9fa2b8018b4a09117bf5d","0",NULL,NULL,
"48","Official Remix","Only","Huston",,"Nine Inch Nails - NINRemixes.com Official - 48 - Only remixed by Huston.mp3","178","9","5.3","S","0.269492","0.0508475","1178976584","3065dcf2098db3517739087c09002b99","0",NULL,NULL,
"49","Official Remix","Only","Layne Adkins","If Only","Nine Inch Nails - NINRemixes.com Official - 49 - Only, If Only, by Layne Adkins.mp3","166","7","5.5","N","0.233333","0.0424242","0","a41a027f47fae08bf014b6e8dd157832","0",NULL,NULL,
"50","Official Remix","Only","Sefiros","Recollection Remix","Nine Inch Nails - NINRemixes.com Official - 50 - Only, Recollection Remix, by Sefiros.mp3","547","30","5.6","Y","0.308824","0.0551471","0","f93af7d50303478fed2713a93d43665e","0",NULL,NULL,
"51","Official Remix","Only","Death Rides A White Horse",,"Nine Inch Nails - NINRemixes.com Official - 51 - Only remixed by Death Rides A White Horse.mp3","352","16","6","S","0.272727","0.0454545","1218654682","1109ad24952b365ecb8126af3a109967","0",NULL,NULL,
"52","Official Remix","Only","Daniel Poirier","Bionique Remix","Nine Inch Nails - NINRemixes.com Official - 52 - Only, Bionique Remix, by Daniel Poirier.mp3","183","8","5.5","?","0.240437","0.0437158","0","bc7c23efb097dfc9a4ba672db42f5d1c","0",NULL,NULL,
"53","Official Remix","Only","One Ton Gun","OTG Remix","Nine Inch Nails - NINRemixes.com Official - 53 - Only, OTG Remix, by One Ton Gun.mp3","215","8","5.3","?","0.197209","0.0372093","0","a976585832de4838733f2b368e2d57a1","0",NULL,NULL,
"54","Official Remix","Only","DJ Butterface","Butterface Break Me Dub","Nine Inch Nails - NINRemixes.com Official - 54 - Only, Butterface Break Me Dub, by DJ Butterface.mp3","236","10","5.2","?","0.221277","0.0425532","0","95ecaf2df5ed8cb305664c3913ed0f33","0",NULL,NULL,
"55","Official Remix","Only","Entity",,"Nine Inch Nails - NINRemixes.com Official - 55 - Only remixed by Entity.mp3","207","7","5.3","?","0.179227","0.0338164","1178976610","0a7bfb10ad4228217c4a3e1ce47f650d","0",NULL,NULL,
"56","Official Remix","Only","Torso",,"Nine Inch Nails - NINRemixes.com Official - 56 - Only remixed by Torso.mp3","197","8","5.5","?","0.22449","0.0408163","1178976613","55a95f1238c545849bb64d6969bb170e","0",NULL,NULL,
"57","Official Remix","Only","Optical Noise",,"Nine Inch Nails - NINRemixes.com Official - 57 - Only remixed by Optical Noise.mp3","226","7","5.2","S","0.161778","0.0311111","1178976618","3cc3f69c6d01f7de7d4d677c6665de4e","0",NULL,NULL,
"58","Official Remix","Only","Daniel James","Jumpback to 89","Nine Inch Nails - NINRemixes.com Official - 58 - Only, Jumpback to 89, by Daniel James.mp3","207","12","4","?","0.231884","0.057971","0","a315fbd1f53523994019c162782fc532","0",NULL,NULL,
