"id","type","original","author","title","file","downloads","votes","rating","halosafe","score","score_norating","lastmodified","md5","featured","tags","fulltags","author_blurb"
"1","Cover","Something I Can Never Have","Mytho X Dave Lincoln","DroidXmix","Nine Inch Nails - NINRemixes.com Unofficial - 1 - Something I Can Never Have, DroidXmix, by Mytho X Dave Lincoln (Cover).mp3","1445","35","5","?","0.122378","0.0244755","0","284e072716066c3a5ea5494b6ce01428","0",NULL,NULL,
"2","Unofficial Remix","Starfuckers, Inc.","Zn0",,"Nine Inch Nails - NINRemixes.com Unofficial - 2 - Starfuckers, Inc. remixed by Zn0 (Unofficial Remix).mp3","4122","161","6.5","?","0.250549","0.038546","1190604452","cb6d2c9c5b5881992859fd1e43e4a571","0","fucking insane, glitch, noisy","noisy, glitch, fucking insane, damn right noisy",
"3","Unofficial Remix","The Line Begins To Blur","XAI Project","CstatiC","Nine Inch Nails - NINRemixes.com Unofficial - 3 - The Line Begins To Blur, CstatiC, by XAI Project (Unofficial Remix).mp3","5222","211","6.2","?","0.25024","0.0403613","1177061833","8f6de7d5bf8aae0614a20f66b285e2ba","1","FRIGGIN INTENSE!, hyperpower!, industrial","industrial, hyperpower!, FRIGGIN INTENSE!, ",
"4","Fan Inspired Song","Fan Inspired Song","Ciulaz Ale","Venus Remix Feat Mario","Nine Inch Nails - NINRemixes.com Unofficial - 4 - Venus Remix Feat Mario by Ciulaz Ale (Fan Inspired Song).mp3","597","24","5","?","0.201005","0.040201","0","166e87b4b78002b66b4c53ba25f10d0a","0",NULL,NULL,
"5","Unofficial Remix","The Big Come Down","Mike Tesh","Roxics Remix","Nine Inch Nails - NINRemixes.com Unofficial - 5 - The Big Come Down, Roxics Remix, by Mike Tesh (Unofficial Remix).mp3","890","34","4.9","?","0.177778","0.0362812","1179663474","d1f8a3b2a95156ae5b5e93f30165ac91","0",NULL,NULL,
"6","Unofficial Remix","The Becoming","Sam I Am","Treason","Nine Inch Nails - NINRemixes.com Unofficial - 6 - The Becoming, Treason, by Sam I Am (Unofficial Remix).mp3","1368","25","5.7","?","0.105399","0.0184911","0","ff088e8abcf270e9d7e041e573f5ab5b","0",NULL,NULL,
"7","Unofficial Remix","All The Love In The World","5ilent Narcotic",,"Nine Inch Nails - NINRemixes.com Unofficial - 7 - All The Love In The World remixed by 5ilent Narcotic (Unofficial Remix).mp3","3673","125","6.1","?","0.208447","0.0341717","1177092501","f6ca26da12baeb8e14ba3a1bb65b42d2","0","IDM, amazing","IDM, amazing",
"8","Cover","Ringfinger","DroidX",,"Nine Inch Nails - NINRemixes.com Unofficial - 8 - Ringfinger covered by DroidX (Cover).mp3","1014","21","5.2","?","0.108119","0.0207921","0","3899166110d9fbf0b54cee1eaaa0c11f","0","cover, phm, pretty hate machine","pretty hate machine, phm, cover",
"9","Unofficial Remix","Beside You In Time","5ilent Narcotic",,"Nine Inch Nails - NINRemixes.com Unofficial - 9 - Beside You In Time remixed by 5ilent Narcotic (Unofficial Remix).mp3","3268","96","6","?","0.169794","0.028299","1179051515","0c87b0a903503c21ff39bd0182b838a1","1",NULL,NULL,
"10","Unofficial Remix","The Big Come Down","TweakerRay","Reconstructed","Nine Inch Nails - NINRemixes.com Unofficial - 10 - The Big Come Down, Reconstructed, by TweakerRay (Unofficial Remix).mp3","2435","101","6.1","?","0.250581","0.0410788","1179663448","de525b7801adea41a8e186760b5e1b2c","0",NULL,NULL,
"11","Unofficial Remix","Starfuckers, Inc.","Zack Perez","That One Fucker Mix","Nine Inch Nails - NINRemixes.com Unofficial - 11 - Starfuckers, Inc., That One Fucker Mix, by Zack Perez (Unofficial Remix).mp3","957","16","6","?","0.100629","0.0167715","1177090983","4100426538d7715736b456e22ca438d7","0",NULL,NULL,
