"id","db","song","tag"
"1","1","1692","funny  hip hop circus me"
"23","1","71","pop song"
"261","1","2099","Orchestra"
"260","1","2099","Epic"
"7","2","29","awesome"
"9","1","1815","techno"
"10","1","1815","glitch"
"11","1","2080","techno"
"12","1","2080","dance"
"13","1","142","ghostbusters"
"14","1","142","parody"
"15","1","142","mashup"
"16","1","958","string"
"17","1","958","violin"
"75","1","191","trance"
"68","1","102","piano"
"57","1","1468","trance"
"24","1","1017","orchestra"
"25","1","1017","string"
"26","1","1017","violin"
"47","1","2197","4:43"
"42","1","2196","chopped vocals"
"2252","1","0","Long"
"36","1","2017","rehashed"
"37","1","2017","7:35"
"39","1","2090","Violent"
"40","1","2090","celestial"
"41","1","2090","8:23"
"43","1","2196","5:32"
"44","1","1563","mellow"
"45","1","1563","rock"
"48","1","2197","110 BPM"
"49","1","649","french"
"50","1","649","piano"
"51","1","649","classy"
"52","1","150","epic"
"53","1","150","industrial"
"54","1","150","awesome"
"2253","1","0","LONG"
"58","1","1468","piano"
"59","1","1468","hypnotic"
"60","1","2029","string"
"61","1","2029","violin"
"62","1","2029","techno"
"63","1","1579","bassy"
"64","1","1579","nice drums"
"65","1","1579","techno"
"66","1","101","jazzy"
"67","1","101","piano"
"69","1","102","too short"
"70","1","873","techno"
"71","1","873","bassy"
"72","1","873","industrial"
"74","1","2112","WTF"
"76","1","191","great drums"
"77","1","1823","brass"
"79","1","959","orchestra"
"80","1","959","string"
"81","1","1621","creepy ambient"
"82","2","209","60 BPM"
"83","1","2042","fresh meat NIN remix"
"86","1","2199","6:00"
"87","1","2199","industrial electronica"
"88","1","2199","noisy"
"90","1","2070","House"
"91","1","2070","Dance"
"92","1","2070","House"
"95","1","1975","Parody"
"692","1","2183","not much different than"
"693","1","2183","not slaughtered!"
"98","1","2116","dance"
"99","1","2116","speedy"
"103","1","2178","breaks"
"104","1","2178","dark"
"105","1","2178","5:52"
"106","1","2097","dark"
"107","1","2097","chill"
"108","1","2097","5:10"
"109","1","2180","awesome"
"111","2","170","Dr Who inspired"
"112","1","2198","Closer"
"113","1","2007","100bpm"
"243","1","1967","69bpm"
"116","1","2200","sexy"
"117","1","2203","6:56"
"118","1","2203","tribal"
"119","1","2203","dark"
"120","1","1627","ELECTROCRUCH!"
"122","1","1590","BASH BUSH MIX"
"292","1","1469","Glitch"
"124","1","2200","Techno"
"125","1","2014","Simply Beautiful"
"126","1","1639","SPACE AGE GUNSLINGER ROC"
"128","1","1824","analog synth"
"129","1","2094","analog synth"
"130","1","2094","tribal"
"131","1","1175","stomping electro interpr"
"132","1","2206","Industrial"
"133","1","2206","Electronica 126bpm"
"134","1","2213","???"
"136","1","2203","tribal"
"137","1","2203","trance"
"138","1","2207","heavy"
"1792","1","2112","fails worse than anythin"
"140","1","2181","dancey"
"141","1","1899","fragmented"
"143","1","1901","slow drone"
"144","1","2026","fast beats"
"145","1","1985","not in time"
"146","1","2009","similar"
"147","1","1852","cool bass"
"148","1","1640","silly"
"149","1","1687","similar"
"151","1","1642","fast"
"152","1","1580","sound effects"
"153","1","1586","slick"
"154","1","1823","cheezy"
"155","1","1680","clowns nose"
"156","1","1637","thick"
"157","1","1923","annoying"
"158","1","1481","strange"
"159","1","1673","horns"
"160","1","1888","meak"
"161","1","1554","speed"
"162","1","1748","messy"
"163","1","1622","boring"
"165","1","2167","reworked"
"166","2","29","better then awesome"
"167","1","2214","power noise"
"203","1","2220","tag?"
"175","2","213","Fan Inspired"
"176","1","538","Classic"
"178","1","2205","dance"
"179","1","2205","speedy"
"180","1","2084","dance"
"181","1","1763","Beachboys Rock?"
"183","1","2023","Clayderman meets Elton!"
"184","1","1800","Let\'s all chant"
"185","1","2056","More Drums???"
"186","1","2223","experimental"
"187","1","2167","electotribal"
"188","1","2167","hip hop"
"189","1","1693","pro!"
"190","1","1374","piano"
"192","1","1394","beautiful"
"193","1","1953","conductor"
"194","1","1953","survivalism"
"195","1","1953","weird but interesting"
"196","1","1953",
"197","1","1851","Industrial-dance"
"198","1","1851","mix"
"199","1","1613","Further Down Year Zero"
"200","1","2120","Trance remix"
"201","2","215","string quartet"
"202","2","213","Neubauten inspired"
"286","2","214","Violin Bass"
"208","1","1530","House"
"210","1","2224","happy sound?"
"212","1","2188","blues guitar"
"213","1","2201","minimal industrial"
"214","2","178","complex movie music"
"215","2","137","heavy soundscape"
"216","2","216","ambient"
"217","1","963","Exotic"
"218","1","963","Strange"
"219","1","963","Heavy"
"220","1","1507","Unconventional"
"221","1","1507","Deep"
"222","2","104","Electronica"
"223","2","104","industrial"
"224","1","2231","Funky"
"225","1","2221","tag!"
"226","1","554","Nice Rocking Disco"
"227","2","218","Original"
"228","1","2233","Breakbeat"
"229","1","1667","Turd on a Stick"
"837","2","25","low-quality"
"231","1","1858","sassy!"
"232","1","2101","not so harsh mix"
"233","1","1786","up tempo"
"234","1","1979","techno"
"235","1","1766","grunge guitar"
"236","1","1864","culture?"
"238","1","1810","heavy bass"
"239","1","1526","diff"
"240","1","1793","triphop"
"242","1","2053","138 bpm"
"244","1","1967","noise"
"245","1","2234","industrial"
"246","1","2247","baguette avec marmelade"
"247","1","1763","definitely beach boys ro"
"250","1","2212","Heavier"
"251","1","2221","unconventional"
"252","2","165","contest winner"
"255","1","2304","Tune"
"254","1","2304","Tune"
"256","1","2299","130bpm"
"259","2","222","Not TR"
"263","1","1938","lcn"
"264","1","2306","my best remix"
"265","2","227","stripped"
"266","2","222","not nin but still good"
"267","1","2099","NIN   Elfman = Tim Burto"
"269","2","222","tags are not for comment"
"270","1","2301","funky"
"271","1","2301","104bpm"
"272","1","2301","104bpm"
"273","1","2301","funky"
"274","1","285","Static-mechanical Robot"
"275","2","218","Stickwaver Rave Trance D"
"359","1","2208","Little Devi"
"360","2","226","its crap"
"287","2","214","SexEpic"
"293","1","1469","very unique."
"1326","1","1752","PAINFUL CONVICTIONS CONT"
"1496","1","1867","limitless potential winn"
"297","1","2183","pro"
"298","1","2093","dancey riffs"
"299","1","2086","robotic busy bees"
"300","1","2207","machine sex"
"301","1","2080","5 star experience"
"302","1","2296","ambient space drifter"
"304","1","2194","Intense Sea Side Murder"
"305","1","2109","Intro track"
"306","1","2242","unofficial remix"
"308","1","2116","tempo increase"
"309","1","2112","WOW!!"
"310","2","205","Trent pre puberty"
"312","1","2088","analog drum fun"
"314","1","2195","Inside a straw"
"315","1","2119","Gansta Piano"
"316","1","122","One of the Best NIN mixe"
"1777","1","777","mashup"
"319","1","2193","guten tag"
"320","1","2068","oooo smooth"
"321","1","2084","low volume level"
"322","1","1925","erase"
"323","1","1667","moar brazz"
"324","1","2056","adhd"
"325","1","1667","Leave me tag alone !"
"327","1","1829","It\'s clever to swear???"
"328","1","2313","very cool!!"
"330","2","65","hard techno"
"335","1","2014","Epic"
"336","1","2014","Orchestra"
"337","1","1741","Techno"
"2205","1","2715","Luv Ur Beats"
"339","1","2213","Remix"
"341","1","1944","Capital Capital Capital"
"2257","1","2931","string arrangement"
"344","1","2306","wath do you thik about o"
"345","1","2176","rock the bass"
"346","1","1555","techno"
"347","1","1555","trance"
"348","1","1449","dance"
"349","2","203","test"
"353","1","2324","obscure"
"352","1","2324","deep"
"354","1","2317","Noisy"
"356","1","2347","Very Original"
"357","1","2347","Incredible Remix"
"361","1","1670","FUNKY GROOVE"
"365","1","2347","unoriginal"
"374","1","2183","LAME"
"375","1","2177","chicken"
"376","1","2306","o"
"379","1","1776","It\'s Awesome"
"380","1","1620","Not What I Thought."
"383","1","1896","jazzy"
"384","1","2032","horns"
"388","1","2309","creepy"
"386","1","2319","ambient"
"387","1","2320","fast"
"389","1","1620","ambient"
"390","1","1776","fast"
"391","1","2318","mash up"
"392","1","2323","acoustic"
"393","1","1998","noisy"
"394","1","2299","rocks"
"396","1","2314","rocks"
"397","1","2298","sped up"
"398","1","2353","car chase theme"
"399","1","2306","o"
"400","1","2176","SOLID BASS"
"401","2","142","RPG Music"
"402","1","2352","Chad Holland"
"403","1","2177","awkward"
"404","2","142","Strings"
"405","1","1623","the residents"
"406","2","220","soft"
"407","2","220","soothing version"
"408","1","2359","F***ing Incredible!"
"409","2","220","very retarded"
"411","1","2240","ver retarded"
"412","1","2305","very retarded"
"413","2","141","fuck"
"414","1","1752","anal sex"
"415","1","2359","amazing"
"417","1","2360","95bpm"
"423","1","2326","pentuim3mix"
"422","1","2241","pentium3mix"
"421","1","2348","pentium3mix"
"424","1","2240","pentium3mix"
"425","1","2305","pentium3mix"
"426","1","2356","Ozone"
"427","1","2356","Cher?"
"428","1","1752","vocal tweaks!"
"430","1","2357","Did some1 see my typewri"
"431","1","2036","Dark"
"432","1","2036","But good."
"541","1","2319","Scary Ambient"
"434","1","2319","Ambient"
"435","1","1563","lounge"
"436","1","1563","noise"
"437","1","2231","Ber ber chicka chicka be"
"438","1","2353","New Sight to mix!"
"439","1","1468","chill out"
"440","1","1555","psy trance"
"441","1","2231","Funky"
"442","1","1658","Trent pilots Airwolf"
"444","1","2363","same as original"
"445","1","1230","rape mash? jeez.."
"1501","1","1800","sucks"
"447","1","2099","WTF???"
"448","1","1926","hilarious!"
"449","1","2182","pointless"
"1502","1","2023","sucks"
"1503","1","2606","sucks"
"453","1","2319","a bit boring"
"454","1","2177","where\'s the tune?"
"455","0","0",
"456","1","2231","ber ber chicka ber ber"
"457","1","2231","b"
"458","1","2221","excellent"
"459","2","203","ambient"
"460","2","172","hurt/doogie mix"
"463","1","2099","Orchestra"
"464","1","2099","Epic"
"465","1","2358","exhibit24.com"
"466","1","2367","Intesting mix"
"467","1","2247","Merde"
"468","1","2350","blues?"
"469","1","2352","sloowww"
"470","1","2349","drum and bass"
"471","1","2368","slow"
"472","1","2355","funky bass"
"473","1","2356","bouncy"
"474","1","1849","KILLER"
"475","2","98","phenomenal"
"477","1","1800","No melody - that\'s the"
"478","2","76","dark"
"479","2","76","dance"
"480","1","2191","Too slow"
"481","1","2317","Wave of noise"
"482","1","2370","its not that great 5 sta"
"483","1","2359","it is pretty good"
"484","1","2359","not amazing"
"485","2","220","soft"
"486","1","2370","mellow not the typical N"
"487","1","2373","ambient"
"488","1","2373","mellow"
"489","1","2373","nice change"
"490","1","2372","pitch - 12"
"491","1","2365","Good idea"
"492","1","2365","Bad mix!"
"493","1","2112","Abomination."
"494","1","2370","dark"
"495","1","2370","Dark"
"496","1","2370","brooding"
"497","1","2370","shivers down your spine"
"499","1","2376","Trent unplugged!"
"500","1","1267","I Don\'t Know"
"501","1","2379","trance and deep"
"502","1","2379","well put together"
"503","1","1692","BORING"
"504","1","1692","BORING!!!"
"505","1","2381","Shuffle Your Feet!"
"506","2","234","rockbar"
"507","1","2366","fast-indeed"
"509","1","2381","Porn Music"
"519","2","235","A Fast Synth Rock Cover"
"672","1","2370","mellow"
"673","1","2370","trance"
"516","1","2375","NIN sounding"
"517","1","2372","Would be good without ly"
"518","2","237","Here To Darken Your Day"
"520","1","2383","cool !!"
"521","1","2380","mindfunk"
"522","1","1469","best surv. mix"
"525","1","1510","repeat listen"
"526","1","2388","pentium 3 mix"
"528","1","2371","review please"
"529","1","2369","review please"
"530","1","2364","review please"
"531","1","71","bossa nova"
"532","1","1915","hnd in the air"
"533","1","554","Sloppy drums"
"534","1","554","low vocals!"
"535","1","1394","strange/brilliant"
"536","1","2385","DISTURBING!!!"
"537","1","2385","RETARDED!"
"538","1","71","Clever"
"539","1","2372","Trent sold his SOUL"
"540","2","238","U HEAR ME NOW???"
"542","1","2359","mellow"
"543","1","2359","dark"
"544","1","2359","orchestral"
"545","1","243","more dark than the origi"
"546","1","1695","orchestral and also elec"
"547","1","1525","filled with ARG elements"
"548","1","1045","Piano Version with elect"
"549","1","2356","synthy"
"550","2","49","hard hitting beat"
"551","2","49","badass"
"552","2","73","cool"
"553","1","1868","Piano"
"555","1","2110","very cool"
"556","1","2396","dark"
"557","1","2396","climatic"
"558","1","2396","orchestral"
"559","1","281","slick"
"560","1","2230","rock\'n\'roll"
"561","1","2397","nice"
"894","1","2313","holy frak."
"563","1","2393","trent vs barry white.."
"597","1","2394","fucking awesome"
"565","2","238","no i dont"
"567","1","2389","First Acid Trip"
"569","1","2317","i made it loud 4 the dea"
"605","2","220","inthewoods"
"571","1","2305","work in progress"
"572","1","2240","work in progress"
"573","1","2241","concept"
"574","1","2326","in the warehouse mix"
"575","1","2398","mind-breaking"
"576","1","2080","dance?"
"577","1","2242","awesome remix"
"578","2","239","Nice !"
"580","1","2400","pass the moonshine pa"
"582","1","2402","Hard techno/industrial"
"583","1","1815","mellow techno"
"584","1","1563","mellow techno"
"585","1","2080","techno"
"586","1","1579","bassy"
"587","1","2401","there is no song here"
"588","1","1790","piano"
"589","1","1587","horns"
"590","1","1805","original"
"591","1","1658","dr. whoish"
"592","1","2398","a mess"
"596","1","2401","Awesome Beat!"
"595","1","1758","slow muted goodness"
"599","1","2227","happiest remix ever"
"600","1","2357","Sexual Ambulance"
"601","2","241","part 1"
"602","1","2406","vocals from beyond"
"603","1","1567","bit trance"
"604","1","1567","but cool"
"606","1","2099","hurts thy ears w/headpho"
"607","1","2407","drill a dick straight th"
"608","1","2381","fun funk"
"609","1","2410","Arena"
"610","2","57","wtf?"
"611","1","2394","random sampling"
"612","1","2394","hard"
"613","1","2394","unique vocals"
"614","1","2399","drummy"
"615","1","2186","techno"
"616","1","2353","hard rock"
"617","1","2376","country"
"618","1","2376","hokey"
"619","1","2227","sunshine and lollipops!"
"620","1","1741","dance"
"621","1","1741","Techno"
"622","2","213","dark"
"623","2","213","moody"
"624","2","213","slow"
"628","1","1434","techno"
"627","1","1434","string"
"629","1","1434","violin"
"630","1","2401","Trent meet Antonio!"
"631","1","1886","upbeat"
"632","1","1727","noisy"
"633","1","131","rearrangement"
"634","1","1633","high vocals"
"635","1","1633","techno"
"636","1","1633","bad vocal chops"
"637","1","1670","funk"
"638","1","1577","hard techno"
"639","1","1577","ambient"
"640","2","242","Part 2"
"641","1","1096","rearrangement"
"642","1","953","rearrangement"
"643","2","240","The hotness"
"644","1","1674","awesome lol"
"645","2","163","Me"
"646","2","163","I\'m Not   A Warm Place"
"647","1","2411","so fucking happy"
"857","1","2395","dark tribal-industrial"
"691","1","2183","boring"
"836","1","2412","NO TALKING!"
"655","1","2417","www.myspace.com/xihilisk"
"657","1","2415","myspace.com/marcocordi"
"658","1","2418","industrial sickness"
"659","1","2403","Psycho tough mix"
"660","1","2416","distorted vocals"
"661","1","2416","techno"
