"id","song","rating","review","account"
"23","86","10","I believe this song stays true to how NIN would have remixed-with a twist. I love it! ","0"
"5","30","8","The best mix I've heard so far- very synth-heavy, aa complete departure in terms of instrument tracks. Great stuff.","0"
"6","71","8","Great Beats, good mood, very original","0"
"7","40","2","It is too slow halfway through.  And the drums sound too messy.  I also didn;t like the intro much.  I may be biased because I am not a fan of any of the piano driven versions of only.","0"
"21","97","10","I have not heard a remix like this before. This completely transforms ""The Hand That Feeds"" into a symphony, almost like it was performed by an orchestra. Listen to this remix. It's something else.","0"
"8","39","10","i would put this as my theme song, lol. this remix is the best thing i've heard in years!","0"
"9","6","9","Dualistic Dymentia V.2:
damn man, quite an update! Love the warping in the vocals at the beginning. at :54, i cannot wait for whats next. amazing intro, maybe best ive heard. i dont mind the stuttering at all. its creatively used. good vocal processing, and you minimized it and didnt overdo it. good work there. the throbbing beat is good. by 2:25, its really getting going. love the roll into 3:00 and the first chorus. good work there. i can hear all sorts of things going on in the background still, thanks for keeping it. all sorts of layers here. into chorus 2, great work there too. piano is louder and necessary. i like the way you fit everything in, nothing is out of place or sticking out. so it looks like you spent awhile doing this and really knocked it dead. there are absolutely no parts of this that i get bored, or can guess what comes next. keeps me wanting more. watch out clubs, this is the killer re-remix! 

9.3 out of 10","0"
"10","1","10","Definately a 10. I love the dark side to the song.","0"
"11","50","8","sefiros, only_recollection:
intro, good so far, nice tension and build up. not that every song has to have that, but its good that you put this in there. kick comes in and fits nicely, almost like a heartbeat (might want to intentionally make it a heartbeat by putting another kick a 16th note behind it?) pianos are good, they also fit. good so far. really good tension, then the beat kicks in. main vocals come in with guitars, still fits. well done there too. voice could have a little more reverb i think so that its in the same neighborhood as the rest of the instruments. does 2nd verse come in too quickly? not sure. good vocal editing there. by 3:25, im not sure that the music is going the same direction as the vocals. i like the music, but somehow not the vocals. slap back echo drums are a little too far back, might want to bring the wet/dry mix a little drier. good programming of drums though. by now im reminded that the main line hasnt stopped or broken. might consider some kind of break, pause, whatever in there between something like verse and verse or verse and chorus. not sure. this is definitely good music score material, so well done there. by 5:30, im really wishing for a break or something in the buzz thats going, and i think my ears want the ""searching, frustrated"" sound to lead to something new and fresh, not sure is.
is this really all there is is well placed, but the music is still the same. it seems like this would be the perfect point to change the melody to something else entirely? maybe thats just me. ok, now we have 16 repetitions of that, im not sure if thats a tad too many.
woah. at 7:48, this part of the mpeg really hoses winamp! good job on that! oh, you probably didnt mean that. might want to re-encode that.
hmmm. finally got to the ending. dont get me wrong, the music is GOOD, but im not sure that it needs to be that sad, especially at the end. i think of this song as more of a ""declaration"" than a funeral dirge or something (no offense).
improvements: ive listened to this a few times and i think i still feel the same, if youre going to maintain the music bed basically the whole time, then great, but i think if i were allowed to produce this, i would see if you can play a less minor-more major progression in the piano at the end, just to set another tone under ""is this really..."". either that or i would insist on some kind of break in here, otherwise its TOO emotionally draining and sad. im not sure you meant that.

i give this an 8.5 out of 10, really really solid music, but really drastically different than his vocals/lyrics and im not sure it comes across right.","0"
"12","42","8","holy speed demons. this is fast. and good so far. love the intro. listen to a little d+b but im not roni size. try changing up the distortion on the drums as the songs progresses, just move some sliders as its playing to animate it. great programming. i like how the guitar is now NOT a guitar, but a synth. love teh scratching at 1:00 and the guitar mangling. 1:15 hats need work, too static. GREAT programming on the fills though, and i love how all your beats are changing every 8 and 16 measures. are there vocals? i think by 2:00, you might drop a sub bass in there, maybe to the tune of the original bassline? just a thought. love the slowdown at 2:24. thats brilliant! drop vocals in there? please? even if its just a taste. love the scathing pissed off ness of 2:40 or so. also good. its not atonal. like the drop in of the beat and the machine gun style. put a tune in there somewhere and i think it would help. distortion on the kick at 3:40 is too crispy, maybe filter it a bit. i love the speed up by that part. oops. the ending just stops for no reason. youre a good enough programmer to put something in there, even if its a taper. shit. this is good and fast. perfect friday night driving late and getting lost mix. 
improvements: a little bit ""without tone"" to the whole song, maybe thats intentional, dont know. love the drop down in speed, but you could emphasize it with a tune or melody i think and it would really stand out as ""this is the chorus!!"" and please more vocals? generally, i dont like remixes that are drastic departures from the original version without some tie in to the orig... but i like this one and will keep it for when i need a pick me up. 
","0"
