"id","song","rating","review","account"
"1","1","5","The music of this cover is especially well done. But what bothered me was that the tempo was wildly inconsistent and in some cases the lyrics didn\'t quite match the music. Not a bad cover at all though.","0"
"2","2","9","Awesome remix, glitch, fucked up from start to end, keeps you listening through out, you never know where its gonna go next. Mind twist mayhem. 

Fabulous.","0"
"3","3","10","This remix from start to finish kicks some serious ass, and then some. I find myself listening to it over and over. Using just the album version XAI Project has taken this great song and just obliterated it in kick ass drums and transitions. A+++ imo. Great work!","0"
"4","3","10","-nothing- but nasty ass kicking-  
not only did you mix my fav. song but did so without being instructed!!!!!!

wicked

ah
ee

","0"
"5","7","10","I thought i was on some kind of \""Narcotic\"" when i first heard this one,  meaning that there was no way it sounded this good, but low and behold it is that good.  no kidding here,  it almost enough to make me want to never touch the computer myself again.  i was amazed at the layers and creativity that pulls this one together.  i dont review hardly any remixes but this one i couldnt resist not doing. 

liten to it!!! it wont let you down.

great track S.N. 
evilethics","0"
"6","7","9","Wow. When I opened up this song in iTunes I figured it would be a poorly done remix with things all jumbled together and whatnot. In a few places things seem to get a bit rough with the vocals but it\'s definetly an amazing remix. There are two things I\'m wandering though, 1) how did you get the vocals to sound as though you cut them from and accapella track? 2) what software did you use to cut this remix, it\'s much better then most of the things I\'ve heard done in ACID Pro. If you would like to answer these questions please email me at:
kamikazekyle2004@gmail.com


Kyle","0"
"7","13","10","The song was very well put together!  The music mixed with the audio perfectly!  ","0"
"17","29","10","Fing fantastic work!!!! the chours synth made the build up go in a whole new direction!! a good one,  also the back beat of tech was key in making the connections for your overlays.  finally the gain added is just plain nasty as hell!!!!!

im very impressed with this remix one of the best ive heard so far!!!

Evil Ethics","0"
"9","14","9","Nice touches to the original song.  Dancier, more replay value-  an improvement over the original.  well done","0"
"14","3","8","A fierce DnB/Jungle beat, double time of the original, makes this better than the original (which I though was rather boring in the grand scheme of NIN), IMHO. Love the broken beat bit in the middle too! Nice work overall!
","0"
"15","25","9","I never realized how much this song screamed out for vocals. Very well done. Worth the twenty second download wait.","0"
"12","21","8","hey there Bo! this is the 4th time in a row i think listening to this song lol. wanted to make sure i got most of the things =P i like the echo in the beginning. sounds like maybe 3 echos? and then the way the piano kinda sneaks up on ya lol. i like the piano. there are some times in the song where the beats b/n all the things aren\'t exactly sincronized, but overall it still sounds really good. i like all the background stuff. =) Good job

\""AND THE PICKLES!\"" =D","0"
"13","7","10","damn. i hate to say it, but i almost like this mix better than the original! i didnt like the whole tamborine-thing from in the original version (eventually, it grew on me). this one has a much deeper feel to it, and i felt like i was immersed farther into the mood of the song. all the extra layers make it so bold, and having the original vocals i think compliments it perfectly. certain effects make it seem like a more grown-up version of an old song, very reminiscent of the pretty hate machine era, but much more modern. 

Well done!","0"
"16","2","10","This is the best remix on this site. By far. In fact it deserves to be on a NIN remix album.

The fiercest, most evil broken beat DnB, completely twisted audio terror. The production is professional, the sounds are nasty, the drums are set to \'obliterate\'...

Massive respect to Zno!","0"
"18","29","9","Wow,,, I wish I could give you a 9.5. cause this was almost perfect....This is by far the best cover remake I have heard....Keep em coming.... Peace....  ","0"
"19","9","10","The is my favorite mix on here by 5ilent Narcotic. Slow and mellow in the begining. When the beat comes in with... \""now that I\'ve decided not to stay... makes you bounce and really gets you to stick with the song. i think i\'ve listened to this mix more than the original! beautiful job.","0"
"20","12","9","Almost perfect. First the good: overall, the song is extremely well performed and a wonderful reworking of the original on Halo 17.

Here\'s what I didn\'t like:
- The beginning is too noisy and too long (almost 30 seconds). This alone probably tuns off a number of people to the cover.
- At a few times it sounds like the vocals are out of key. Specifically from 2:15 to 2:42. They improve but still sound somewhat out of key until 3:10.

I absolutely love the rest and the song remains one of my favorite NIN covers. Thanks for sharing it with us!","0"
"21","29","9","Goosebumps....
Thats how i can explain this remix.... first two seconds sounds chopped off/faded and last two seconds are also faded but gets kinda loud... but!!! awesome work!
This is currently the only remix for \""Non Enitity\"" and yes, this is how i expected it to be... Can\'t wait for official release by Trent.","0"
"22","12","6","Good attempt.

It\'s a hell of alot better than most NIN covers, I\'d say worthy of one of those tribute cds but that\'s not really a compliment, but take it as one.

The piano is the best part of it, but the version runs a little too long.

I\'m not keen on the female vocals, I think if reorganized could be a very strong dub mix.","0"
"23","29","9","I was a skeptic at first considering TR\'s original acoustic performance. I must say, this remix was very much in line with my vision of total (completed) song. You do a great job of staying true to the songs emotional intergrity. Fantastic work, Sefiros!","0"
"24","35","7","Minimalist and soothing. Not spectacular, but I like it. Well done.","0"
"25","7","9","The beat is excellent; the synth carries the main melody well. You did a fantastic job with the vocals. Great job overall.","0"
"27","1","1","I\'m sorry, but the voice definively don\'t match with the tempo...Moreover the singing is quite inaccuracy...

too bad..
","0"
"28","18","6","I\'d be interested in hearing this when it\'s recorded clearly.  You need to work on that low note in the verses.  When you miss it can be distracting.  I really enjoyed your rendition of the chorus though.  Chorus vocals were fantastic.","0"
"29","29","10","When I started the song I though that it would just be a simple remix as it sounded the same as the original. I listened further in and started hearing the subtle changes and the revamping of almost every aspect up to trents voice. some small but evident echoing vocals were added which add a really nice touch. overall it has a much smoother feel than I expected and fits quite well with something I would see trent actually making.","0"
"30","9","10","This is just the best remix that ive heard of this song.
5ilent narcotic get my attension every time now.
Give it a listen and hear for your self.
paganmike","0"
"31","7","10","How do you get the acappella to these songs?
Well, whatever you\'re doing, keep it up!
Your remixes are AWESOME!","0"
"32","37","9","I think this is a much better remix than the other remix that is here. The beats on the other remix do not even match up. This one is much darker and I like how the guitar compliments the original song. Nice Remix","0"
"33","37","3","Personaly the only real difference I could hear in this remix from the original Non Entity was the addition of Death Dealer\'s Descent done by Renholder. I think DDD was added in too loud and drowned Trent out a little.","0"
"34","40","7","plays nicely next to other remix\'s but may not be something I would see on an official NIN release but still quite good none the less. plays through first 8 lines twice but leaves out last 4/5.","0"
"35","32","9","I like the keybourd intro.The effects on the guitar.The guitar solo. And how good the scream was in the end.

and this hOVering feeling like the gov. is somewhere at the heart of it. . .  not sure about that but seems that way.

eitherway its a good mix and deserves a review.....

good luck..
","0"
"36","43","10","True to the original song bit by bit while adding more flavor and more melody. The singing is excellent and the production quality is subtle, smooth, and professional. Excellent cover.","0"
"37","25","9","Good music here, keep it up. ","0"
